,x,y,radius,text,text_digits
0,831,860,28.200000762939453,15,15
1,859,1494,28.200000762939453,74,74
2,1454,925,28.200000762939453,13,13
3,1463,1467,28.200000762939453,67,67
4,1696,1380,28.200000762939453,69,69
5,1803,3053,28.200000762939453,63,63
6,2099,3144,28.200000762939453,62,62
7,1322,1939,30.5,66,66
8,1431,1199,30.5,71,71
9,542,1091,30.200000762939453,76,76
10,1113,1088,30.200000762939453,68,68
11,1174,1403,30.200000762939453,70,70
12,1192,2558,30.200000762939453,65,65
13,1305,3215,30.200000762939453,64,64
14,1704,1082,30.200000762939453,12,12
15,379,669,25.200000762939453,,
